# Matter power spectrum P(k) at redshift z=1.5
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       1.170540052178e+01 
       1.320553506188e-05       1.461859793506e+01 
       1.662478366574e-05       1.825680439884e+01 
       2.092936262238e-05       2.280044529590e+01 
       2.634850645797e-05       2.847481960594e+01 
       3.317080434276e-05       3.556126921091e+01 
       4.175956851675e-05       4.441108177191e+01 
       5.257218199130e-05       5.546282682097e+01 
       6.618445586232e-05       6.926393951136e+01 
       8.332129335084e-05       8.649753387077e+01 
       1.048952935429e-04       1.080156247276e+02 
       1.320553506188e-04       1.348800774638e+02 
       1.662478366574e-04       1.684077777001e+02 
       2.092936262238e-04       2.102481683154e+02 
       2.634850645797e-04       2.624322453614e+02 
       3.317080434276e-04       3.274686947805e+02 
       4.175956851675e-04       4.084305962361e+02 
       5.257218199130e-04       5.090451789593e+02 
       6.618445586232e-04       6.337701594200e+02 
       8.332129335084e-04       7.878382083456e+02 
       1.048952935429e-03       9.772483039646e+02 
       1.320553506188e-03       1.208670362512e+03 
       1.662478366574e-03       1.489130371192e+03 
       2.092936262238e-03       1.825463977161e+03 
       2.634850645797e-03       2.223160677034e+03 
       3.317080434276e-03       2.684835999470e+03 
       4.175956851675e-03       3.208085612403e+03 
       5.257218199130e-03       3.782593071206e+03 
       6.618445586232e-03       4.386605291960e+03 
       8.332129335084e-03       4.983281447616e+03 
       1.048952935429e-02       5.516300614996e+03 
       1.320553506188e-02       5.908600420101e+03 
       1.662478366571e-02       6.065284412369e+03 
       2.092936245785e-02       5.893026734498e+03 
       2.634838077218e-02       5.348256941801e+03 
       3.315335827376e-02       4.514341666190e+03 
       4.117749966751e-02       3.677979877581e+03 
       4.795254993721e-02       3.197352555101e+03 
       5.286425045417e-02       2.960383469372e+03 
       5.691304009839e-02       2.812079164299e+03 
       6.052726845175e-02       2.699810980413e+03 
       6.389773125215e-02       2.601566207973e+03 
       6.712534820597e-02       2.506507883533e+03 
       7.027060313276e-02       2.408610555756e+03 
       7.337321162010e-02       2.305157901681e+03 
       7.646115596000e-02       2.195465827482e+03 
       7.955530817597e-02       2.080431646572e+03 
       8.267199812167e-02       1.962113923010e+03 
       8.582453480245e-02       1.843345518046e+03 
       8.902415521325e-02       1.727350122057e+03 
       9.228064147818e-02       1.617368990305e+03 
       9.560273636259e-02       1.516296540412e+03 
       9.899843114064e-02       1.426315154029e+03 
       1.024751697738e-01       1.348705861942e+03 
       1.060399965118e-01       1.283748518694e+03 
       1.096996641967e-01       1.230575037156e+03 
       1.134607146169e-01       1.187354854746e+03 
       1.173295385667e-01       1.151212832832e+03 
       1.213124209241e-01       1.118679280453e+03 
       1.254155745339e-01       1.086000011343e+03 
       1.296451656829e-01       1.049824741631e+03 
       1.340073332881e-01       1.007666328116e+03 
       1.385082034762e-01       9.587337725113e+02 
       1.431539009375e-01       9.040185956290e+02 
       1.479505582442e-01       8.461357020348e+02 
       1.529043241975e-01       7.888077804401e+02 
       1.580213721861e-01       7.358554041030e+02 
       1.633079094911e-01       6.902616041593e+02 
       1.687701884391e-01       6.534210430946e+02 
       1.744145202864e-01       6.248414540217e+02 
       1.802472927031e-01       6.021522722433e+02 
       1.862749917180e-01       5.819771711828e+02 
       1.925042289813e-01       5.605807020455e+02 
       1.989417752019e-01       5.351268595362e+02 
       2.055946006350e-01       5.051816788803e+02 
       2.124699235225e-01       4.728118289604e+02 
       2.195752674512e-01       4.413086827376e+02 
       2.269185286902e-01       4.135918892693e+02 
       2.345080547155e-01       3.911216399835e+02 
       2.423527353509e-01       3.734521339922e+02 
       2.504621082570e-01       3.582964289308e+02 
       2.588464809217e-01       3.428061990201e+02 
       2.675170718728e-01       3.253180875188e+02 
       2.764861745867e-01       3.061244540629e+02 
       2.857673485676e-01       2.871356343052e+02 
       2.953756433939e-01       2.704906073729e+02 
       3.053278632782e-01       2.567751086407e+02 
       3.156428820193e-01       2.448899753117e+02 
       3.263420213562e-01       2.331470681331e+02 
       3.374495099765e-01       2.205927883270e+02 
       3.489930462605e-01       2.078553300879e+02 
       3.610044959369e-01       1.961244372190e+02 
       3.735207672561e-01       1.859324769036e+02 
       3.865849226603e-01       1.765844947006e+02 
       4.002476098023e-01       1.672310474644e+02 
