# Matter power spectrum P(k) at redshift z=1
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       1.755020231598e+01 
       1.320553506188e-05       2.191803231354e+01 
       1.662478366574e-05       2.737288119915e+01 
       2.092936262238e-05       3.418526977387e+01 
       2.634850645797e-05       4.269298880040e+01 
       3.317080434276e-05       5.331785200143e+01 
       4.175956851675e-05       6.658654195474e+01 
       5.257218199130e-05       8.315658724104e+01 
       6.618445586232e-05       1.038487157831e+02 
       8.332129335084e-05       1.296870280287e+02 
       1.048952935429e-04       1.619487551908e+02 
       1.320553506188e-04       2.022255585228e+02 
       1.662478366574e-04       2.524984780545e+02 
       2.092936262238e-04       3.152284055652e+02 
       2.634850645797e-04       3.934631493613e+02 
       3.317080434276e-04       4.909601586296e+02 
       4.175956851675e-04       6.123201683577e+02 
       5.257218199130e-04       7.631210552817e+02 
       6.618445586232e-04       9.500339424296e+02 
       8.332129335084e-04       1.180897580209e+03 
       1.048952935429e-03       1.464719943752e+03 
       1.320553506188e-03       1.811540482159e+03 
       1.662478366574e-03       2.231928061365e+03 
       2.092936262238e-03       2.736149899422e+03 
       2.634850645797e-03       3.332494095314e+03 
       3.317080434276e-03       4.024954754734e+03 
       4.175956851675e-03       4.810036558165e+03 
       5.257218199130e-03       5.672414086045e+03 
       6.618445586232e-03       6.579733961476e+03 
       8.332129335084e-03       7.476614897573e+03 
       1.048952935429e-02       8.279188384582e+03 
       1.320553506188e-02       8.871743701404e+03 
       1.662478366571e-02       9.111632425391e+03 
       2.092936245785e-02       8.857965416231e+03 
       2.634838077218e-02       8.043715969917e+03 
       3.315335827376e-02       6.791804464709e+03 
       4.117749966751e-02       5.532227079192e+03 
       4.795254993721e-02       4.806862935253e+03 
       5.286425045417e-02       4.449038653291e+03 
       5.691304009839e-02       4.225141086436e+03 
       6.052726845175e-02       4.055734583407e+03 
       6.389773125215e-02       3.907579388181e+03 
       6.712534820597e-02       3.764004692891e+03 
       7.027060313276e-02       3.615885697511e+03 
       7.337321162010e-02       3.459045424590e+03 
       7.646115596000e-02       3.292403100283e+03 
       7.955530817597e-02       3.117275337980e+03 
       8.267199812167e-02       2.936860137827e+03 
       8.582453480245e-02       2.755440675553e+03 
       8.902415521325e-02       2.577989381255e+03 
       9.228064147818e-02       2.409608323715e+03 
       9.560273636259e-02       2.254742782212e+03 
       9.899843114064e-02       2.116804721946e+03 
       1.024751697738e-01       1.997870354130e+03 
       1.060399965118e-01       1.898424789581e+03 
       1.096996641967e-01       1.817194230596e+03 
       1.134607146169e-01       1.751373128985e+03 
       1.173295385667e-01       1.696586235939e+03 
       1.213124209241e-01       1.647426478869e+03 
       1.254155745339e-01       1.598077039418e+03 
       1.296451656829e-01       1.543218849210e+03 
       1.340073332881e-01       1.478933723957e+03 
       1.385082034762e-01       1.403921370818e+03 
       1.431539009375e-01       1.319651668035e+03 
       1.479505582442e-01       1.230236429406e+03 
       1.529043241975e-01       1.141519082929e+03 
       1.580213721861e-01       1.059555172079e+03 
       1.633079094911e-01       9.890931775892e+02 
       1.687701884391e-01       9.324095360773e+02 
       1.744145202864e-01       8.887826141374e+02 
       1.802472927031e-01       8.545014936284e+02 
       1.862749917180e-01       8.242164073568e+02 
       1.925042289813e-01       7.919651893327e+02 
       1.989417752019e-01       7.531406299513e+02 
       2.055946006350e-01       7.070087563254e+02 
       2.124699235225e-01       6.568471967786e+02 
       2.195752674512e-01       6.079643420013e+02 
       2.269185286902e-01       5.650753355840e+02 
       2.345080547155e-01       5.305968996519e+02 
       2.423527353509e-01       5.038383829933e+02 
       2.504621082570e-01       4.811334366694e+02 
       2.588464809217e-01       4.578276575277e+02 
       2.675170718728e-01       4.311972283656e+02 
       2.764861745867e-01       4.016885246576e+02 
       2.857673485676e-01       3.724146891260e+02 
       2.953756433939e-01       3.469213478163e+02 
       3.053278632782e-01       3.262009977489e+02 
       3.156428820193e-01       3.084654332379e+02 
       3.263420213562e-01       2.909164674211e+02 
       3.374495099765e-01       2.719570230369e+02 
       3.489930462605e-01       2.526271975462e+02 
       3.610044959369e-01       2.349220286184e+02 
       3.735207672561e-01       2.197555272633e+02 
       3.865849226603e-01       2.059750888096e+02 
       4.002476098023e-01       1.921470254827e+02 
       4.145689302190e-01       1.782050351196e+02 
       4.296209176886e-01       1.651887961631e+02 
       4.454908815347e-01       1.534295562725e+02 
       4.622860022811e-01       1.423042208667e+02 
       4.801397825991e-01       1.312778190011e+02 
       4.992213188510e-01       1.207546654826e+02 
       5.197489887388e-01       1.109831955875e+02 
       5.420112893203e-01       1.014760116681e+02 
       5.663997084830e-01       9.226077818214e+01 
       5.934627725556e-01       8.344756284831e+01 
       6.239993427101e-01       7.479815072339e+01 
       6.592291724542e-01       6.633291395550e+01 
       7.011264336281e-01       5.789773811782e+01 
       7.531239737703e-01       4.938976573803e+01 
       8.217203627665e-01       4.062212195968e+01 
       9.202773945291e-01       3.142520724326e+01 
       1.076080634432e+00       2.194348510333e+01 
       1.324171164053e+00       1.352026889926e+01 
       1.664230651192e+00       7.854550605731e+00 
       2.095088782300e+00       4.503900541759e+00 
       2.637560307859e+00       2.561168084135e+00 
       3.320491696597e+00       1.445628418125e+00 
       4.180251376498e+00       8.104063337252e-01 
       5.262624685560e+00       4.515143025315e-01 
       6.625251949387e+00       2.501372008293e-01 
       8.340698038623e+00       1.378574743601e-01 
       1.050031671292e+01       7.561485719516e-02 
       1.321911554179e+01       4.129163720854e-02 
       1.664188047700e+01       2.245588495562e-02 
       2.095088623253e+01       1.216502067241e-02 
       2.637560307775e+01       6.566011415269e-03 
       3.320491696597e+01       3.531207142578e-03 
       4.180251376498e+01       1.892287696193e-03 
       5.262624685560e+01       1.010206160473e-03 
