# Matter power spectrum P(k) at redshift z=1
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050031671292e+03       4.572545876389e-05 
       1.321911554179e+03       2.632829403383e-05 
       1.664188047700e+03       1.515916313887e-05 
       2.095088623253e+03       8.728084691349e-06 
       2.637560307775e+03       5.025234396220e-06 
       3.320491696597e+03       2.893270907465e-06 
       4.180251376498e+03       1.665783484912e-06 
       5.262624685560e+03       9.590596046720e-07 
       6.625251949387e+03       5.521675829828e-07 
       8.340698038623e+03       3.179032404665e-07 
       1.050031671292e+04       1.830282355145e-07 
