# Matter power spectrum P(k) at redshift z=0.3
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       3.469810705257e+01 
       1.320553506188e-05       4.333363998211e+01 
       1.662478366574e-05       5.411828885589e+01 
       2.092936262238e-05       6.758688556080e+01 
       2.634850645797e-05       8.440725591761e+01 
       3.317080434276e-05       1.054133316743e+02 
       4.175956851675e-05       1.316463683282e+02 
       5.257218199130e-05       1.644062483249e+02 
       6.618445586232e-05       2.053154311503e+02 
       8.332129335084e-05       2.563982817056e+02 
       1.048952935429e-04       3.201792759256e+02 
       1.320553506188e-04       3.998038716769e+02 
       1.662478366574e-04       4.991860881513e+02 
       2.092936262238e-04       6.231862980819e+02 
       2.634850645797e-04       7.778210834453e+02 
       3.317080434276e-04       9.705031733213e+02 
       4.175956851675e-04       1.210302689409e+03 
       5.257218199130e-04       1.508211312606e+03 
       6.618445586232e-04       1.877380457700e+03 
       8.332129335084e-04       2.333292411430e+03 
       1.048952935429e-03       2.893786362306e+03 
       1.320553506188e-03       3.578748897875e+03 
       1.662478366574e-03       4.409045270266e+03 
       2.092936262238e-03       5.404946598748e+03 
       2.634850645797e-03       6.582831207827e+03 
       3.317080434276e-03       7.950582711802e+03 
       4.175956851675e-03       9.501296977747e+03 
       5.257218199130e-03       1.120475221356e+04 
       6.618445586232e-03       1.299620190119e+04 
       8.332129335084e-03       1.476794120052e+04 
       1.048952935429e-02       1.635306982441e+04 
       1.320553506188e-02       1.752418010989e+04 
       1.662478366571e-02       1.799801254077e+04 
       2.092936245785e-02       1.749663520619e+04 
       2.634838077218e-02       1.588867217202e+04 
       3.315335827376e-02       1.341564018135e+04 
       4.117749966751e-02       1.092767939858e+04 
       4.795254993721e-02       9.494794760622e+03 
       5.286425045417e-02       8.788056741757e+03 
       5.691304009839e-02       8.345777780880e+03 
       6.052726845175e-02       8.011064891122e+03 
       6.389773125215e-02       7.718473946738e+03 
       6.712534820597e-02       7.434721284634e+03 
       7.027060313276e-02       7.142144770827e+03 
       7.337321162010e-02       6.832369936224e+03 
       7.646115596000e-02       6.503210247265e+03 
       7.955530817597e-02       6.157383119101e+03 
       8.267199812167e-02       5.801055113607e+03 
       8.582453480245e-02       5.442676060351e+03 
       8.902415521325e-02       5.092251855967e+03 
       9.228064147818e-02       4.759628183658e+03 
       9.560273636259e-02       4.453744097142e+03 
       9.899843114064e-02       4.181266388805e+03 
       1.024751697738e-01       3.946320039332e+03 
       1.060399965118e-01       3.749915358100e+03 
       1.096996641967e-01       3.589474380056e+03 
       1.134607146169e-01       3.459425160135e+03 
       1.173295385667e-01       3.351193791833e+03 
       1.213124209241e-01       3.254092732219e+03 
       1.254155745339e-01       3.156654060779e+03 
       1.296451656829e-01       3.048228795146e+03 
       1.340073332881e-01       2.921283657658e+03 
       1.385082034762e-01       2.773087033704e+03 
       1.431539009375e-01       2.606626680969e+03 
       1.479505582442e-01       2.430006398830e+03 
       1.529043241975e-01       2.254785919991e+03 
       1.580213721861e-01       2.092886520348e+03 
       1.633079094911e-01       1.953740206412e+03 
       1.687701884391e-01       1.841765304951e+03 
       1.744145202864e-01       1.755588115390e+03 
       1.802472927031e-01       1.687851633417e+03 
       1.862749917180e-01       1.628056154771e+03 
       1.925042289813e-01       1.564341711918e+03 
       1.989417752019e-01       1.487666005620e+03 
       2.055946006350e-01       1.396521847430e+03 
       2.124699235225e-01       1.297446424521e+03 
       2.195752674512e-01       1.200891827257e+03 
       2.269185286902e-01       1.116173138799e+03 
       2.345080547155e-01       1.048071413941e+03 
       2.423527353509e-01       9.952042806871e+02 
       2.504621082570e-01       9.503615600018e+02 
       2.588464809217e-01       9.043252019711e+02 
       2.675170718728e-01       8.517228165488e+02 
       2.764861745867e-01       7.934417300226e+02 
       2.857673485676e-01       7.356103489466e+02 
       2.953756433939e-01       6.852650977487e+02 
       3.053278632782e-01       6.443265176067e+02 
       3.156428820193e-01       6.093050539515e+02 
       3.263420213562e-01       5.746406612226e+02 
       3.374495099765e-01       5.371878265117e+02 
       3.489930462605e-01       4.990073457584e+02 
       3.610044959369e-01       4.640279103959e+02 
       3.735207672561e-01       4.340730141009e+02 
       3.865849226603e-01       4.068523830351e+02 
       4.002476098023e-01       3.795436232243e+02 
       4.145689302190e-01       3.520014107117e+02 
       4.296209176886e-01       3.262886295833e+02 
       4.454908815347e-01       3.030613229082e+02 
       4.622860022811e-01       2.810878196970e+02 
       4.801397825991e-01       2.593079028820e+02 
       4.992213188510e-01       2.385210212467e+02 
       5.197489887388e-01       2.192206267401e+02 
       5.420112893203e-01       2.004417896294e+02 
       5.663997084830e-01       1.822366847036e+02 
       5.934627725556e-01       1.648286794753e+02 
       6.239993427101e-01       1.477438376466e+02 
       6.592291724542e-01       1.310231465791e+02 
       7.011264336281e-01       1.143615324669e+02 
       7.531239737703e-01       9.755638899234e+01 
       8.217203627665e-01       8.023959161298e+01 
       9.202773945291e-01       6.207274730821e+01 
       1.076080634432e+00       4.334345738539e+01 
       1.324171164053e+00       2.670624554484e+01 
       1.664230651192e+00       1.551462408602e+01 
       2.095088782300e+00       8.896303206437e+00 
       2.637560307859e+00       5.058961232725e+00 
       3.320491696597e+00       2.855458284496e+00 
       4.180251376498e+00       1.600705930597e+00 
       5.262624685560e+00       8.918235148097e-01 
       6.625251949387e+00       4.940733216890e-01 
       8.340698038623e+00       2.722994611058e-01 
       1.050031671292e+01       1.493562821016e-01 
       1.321911554179e+01       8.155874180479e-02 
       1.664188047700e+01       4.435316898925e-02 
       2.095088623253e+01       2.402631010853e-02 
       2.637560307775e+01       1.296715136998e-02 
       3.320491696597e+01       6.972921076664e-03 
       4.180251376498e+01       3.735910073872e-03 
       5.262624685560e+01       1.993862645106e-03 
       6.625251949387e+01       1.059529286129e-03 
       8.340698038623e+01       5.601637495138e-04 
       1.050031671292e+02       2.942283191993e-04 
       1.321911554179e+02       1.532055044317e-04 
       1.664188047700e+02       7.884163123854e-05 
       2.095088623253e+02       3.990940718814e-05 
       2.637560307775e+02       1.976015789830e-05 
       3.320491696597e+02       9.513277733567e-06 
       4.180251376498e+02       4.440674401205e-06 
       5.262624685560e+02       2.021392120984e-06 
       6.625251949387e+02       9.158599964231e-07 
       8.340698038623e+02       4.262168793616e-07 
       1.050031671292e+03       2.067452592584e-07 
       1.321911554179e+03       1.007813030850e-07 
       1.664188047700e+03       4.815065746117e-08 
       2.095088623253e+03       2.427309468227e-08 
       2.637560307775e+03       1.220548290547e-08 
       3.320491696597e+03       6.251161341782e-09 
       4.180251376498e+03       3.157044382284e-09 
       5.262624685560e+03       1.620273336775e-09 
       6.625251949387e+03       8.444878461207e-10 
       8.340698038623e+03       4.289932649101e-10 
       1.050031671292e+04       2.214640790783e-10 
