# Matter power spectrum P(k) at redshift z=0
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       4.772172690040e+01 
       1.320553506188e-05       5.959852660327e+01 
       1.662478366574e-05       7.443110504863e+01 
       2.092936262238e-05       9.295498877021e+01 
       2.634850645797e-05       1.160887095200e+02 
       3.317080434276e-05       1.449791727708e+02 
       4.175956851675e-05       1.810584192324e+02 
       5.257218199130e-05       2.261141894854e+02 
       6.618445586232e-05       2.823777883218e+02 
       8.332129335084e-05       3.526331889335e+02 
       1.048952935429e-04       4.403519538076e+02 
       1.320553506188e-04       5.498593018345e+02 
       1.662478366574e-04       6.864573562718e+02 
       2.092936262238e-04       8.569411328913e+02 
       2.634850645797e-04       1.069520151751e+03 
       3.317080434276e-04       1.334365607382e+03 
       4.175956851675e-04       1.663915309415e+03 
       5.257218199130e-04       2.073234068713e+03 
       6.618445586232e-04       2.580341893095e+03 
       8.332129335084e-04       3.206451313832e+03 
       1.048952935429e-03       3.975986000826e+03 
       1.320553506188e-03       4.916098409783e+03 
       1.662478366574e-03       6.055167841439e+03 
       2.092936262238e-03       7.420633465719e+03 
       2.634850645797e-03       9.034378266754e+03 
       3.317080434276e-03       1.090635831586e+04 
       4.175956851675e-03       1.302589247817e+04 
       5.257218199130e-03       1.534977074792e+04 
       6.618445586232e-03       1.778769723269e+04 
       8.332129335084e-03       2.018905102459e+04 
       1.048952935429e-02       2.232424425473e+04 
       1.320553506188e-02       2.388127125685e+04 
       1.662478366571e-02       2.447503336264e+04 
       2.092936245785e-02       2.373407713282e+04 
       2.634838077218e-02       2.149395311865e+04 
       3.315335827376e-02       1.810108897936e+04 
       4.117749966751e-02       1.471921997216e+04 
       4.795254993721e-02       1.278493511915e+04 
       5.286425045417e-02       1.183615136549e+04 
       5.691304009839e-02       1.124560540065e+04 
       6.052726845175e-02       1.080125624875e+04 
       6.389773125215e-02       1.041491247729e+04 
       6.712534820597e-02       1.004207954438e+04 
       7.027060313276e-02       9.658835414474e+03 
       7.337321162010e-02       9.253798404176e+03 
       7.646115596000e-02       8.824262526543e+03 
       7.955530817597e-02       8.373604120777e+03 
       8.267199812167e-02       7.909668726573e+03 
       8.582453480245e-02       7.443828058943e+03 
       8.902415521325e-02       6.989295560955e+03 
       9.228064147818e-02       6.558899075742e+03 
       9.560273636259e-02       6.164392645489e+03 
       9.899843114064e-02       5.814423229433e+03 
       1.024751697738e-01       5.514250855255e+03 
       1.060399965118e-01       5.265113851648e+03 
       1.096996641967e-01       5.063448526880e+03 
       1.134607146169e-01       4.901885495706e+03 
       1.173295385667e-01       4.769173323172e+03 
       1.213124209241e-01       4.651202297466e+03 
       1.254155745339e-01       4.532906115037e+03 
       1.296451656829e-01       4.400139832029e+03 
       1.340073332881e-01       4.242826644921e+03 
       1.385082034762e-01       4.057210079771e+03 
       1.431539009375e-01       3.847280993510e+03 
       1.479505582442e-01       3.623826526623e+03 
       1.529043241975e-01       3.402084956318e+03 
       1.580213721861e-01       3.197788371480e+03 
       1.633079094911e-01       3.023220959634e+03 
       1.687701884391e-01       2.884022708542e+03 
       1.744145202864e-01       2.778224197354e+03 
       1.802472927031e-01       2.696208789838e+03 
       1.862749917180e-01       2.624221299593e+03 
       1.925042289813e-01       2.546729043798e+03 
       1.989417752019e-01       2.451855238104e+03 
       2.055946006350e-01       2.337603323013e+03 
       2.124699235225e-01       2.212695431105e+03 
       2.195752674512e-01       2.090877731547e+03 
       2.269185286902e-01       1.984207838541e+03 
       2.345080547155e-01       1.898708278945e+03 
       2.423527353509e-01       1.832455679812e+03 
       2.504621082570e-01       1.776074886611e+03 
       2.588464809217e-01       1.717754303505e+03 
       2.675170718728e-01       1.650673631547e+03 
       2.764861745867e-01       1.576084988722e+03 
       2.857673485676e-01       1.501921712853e+03 
       2.953756433939e-01       1.437006553095e+03 
       3.053278632782e-01       1.383621800829e+03 
       3.156428820193e-01       1.337271467847e+03 
       3.263420213562e-01       1.291067247864e+03 
       3.374495099765e-01       1.241212709001e+03 
       3.489930462605e-01       1.190335082517e+03 
       3.610044959369e-01       1.143199123678e+03 
       3.735207672561e-01       1.101872301327e+03 
       3.865849226603e-01       1.063552319087e+03 
       4.002476098023e-01       1.024934657542e+03 
       4.145689302190e-01       9.858995421465e+02 
       4.296209176886e-01       9.487952366660e+02 
       4.454908815347e-01       9.142768343080e+02 
       4.622860022811e-01       8.809065708138e+02 
       4.801397825991e-01       8.475127329738e+02 
       4.992213188510e-01       8.149059541270e+02 
       5.197489887388e-01       7.834902397677e+02 
       5.420112893203e-01       7.521762392375e+02 
       5.663997084830e-01       7.208923377504e+02 
       5.934627725556e-01       6.896490285526e+02 
       6.239993427101e-01       6.577391235489e+02 
       6.592291724542e-01       6.247964921028e+02 
       7.011264336281e-01       5.899373609843e+02 
       7.531239737703e-01       5.519642990505e+02 
       8.217203627665e-01       5.087900463504e+02 
       9.202773945291e-01       4.569386542026e+02 
       1.076080634432e+00       3.917513791380e+02 
       1.324171164053e+00       3.145205777895e+02 
       1.664230651192e+00       2.400751241270e+02 
       2.095088782300e+00       1.763849517058e+02 
       2.637560307859e+00       1.247290733434e+02 
       3.320491696597e+00       8.512687268679e+01 
       4.180251376498e+00       5.635612223224e+01 
       5.262624685560e+00       3.638841269429e+01 
       6.625251949387e+00       2.303308891378e+01 
       8.340698038623e+00       1.435594988695e+01 
       1.050031671292e+01       8.842693842487e+00 
       1.321911554179e+01       5.398399961741e+00 
       1.664188047700e+01       3.273739535899e+00 
       2.095088623253e+01       1.975423827814e+00 
       2.637560307775e+01       1.187597289589e+00 
       3.320491696597e+01       7.120098146879e-01 
       4.180251376498e+01       4.260096431398e-01 
       5.262624685560e+01       2.545063680315e-01 
       6.625251949387e+01       1.518774835857e-01 
       8.340698038623e+01       9.055852143533e-02 
       1.050031671292e+02       5.396342065780e-02 
       1.321911554179e+02       3.214198546554e-02 
       1.664188047700e+02       1.913815188450e-02 
       2.095088623253e+02       1.139250218123e-02 
