# Matter power spectrum P(k) at redshift z=1.3
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       1.365612660875e+01 
       1.320553506188e-05       1.705481445971e+01 
       1.662478366574e-05       2.129933131242e+01 
       2.092936262238e-05       2.660017708308e+01 
       2.634850645797e-05       3.322019169931e+01 
       3.317080434276e-05       4.148760255402e+01 
       4.175956851675e-05       5.181223499408e+01 
       5.257218199130e-05       6.470573971177e+01 
       6.618445586232e-05       8.080676510867e+01 
       8.332129335084e-05       1.009122357513e+02 
       1.048952935429e-04       1.260160915992e+02 
       1.320553506188e-04       1.573570355025e+02 
       1.662478366574e-04       1.964769421360e+02 
       2.092936262238e-04       2.452914227699e+02 
       2.634850645797e-04       3.061734254752e+02 
       3.317080434276e-04       3.820491951689e+02 
       4.175956851675e-04       4.765028861346e+02 
       5.257218199130e-04       5.938811990859e+02 
       6.618445586232e-04       7.393831106596e+02 
       8.332129335084e-04       9.191143785100e+02 
       1.048952935429e-03       1.140082711863e+03 
       1.320553506188e-03       1.410090206012e+03 
       1.662478366574e-03       1.737358874907e+03 
       2.092936262238e-03       2.129887812316e+03 
       2.634850645797e-03       2.594125303509e+03 
       3.317080434276e-03       3.133182975004e+03 
       4.175956851675e-03       3.744339010427e+03 
       5.257218199130e-03       4.415663915477e+03 
       6.618445586232e-03       5.121953675786e+03 
       8.332129335084e-03       5.820185663463e+03 
       1.048952935429e-02       6.444942979388e+03 
       1.320553506188e-02       6.906201283092e+03 
       1.662478366571e-02       7.092944347773e+03 
       2.092936245785e-02       6.895512177473e+03 
       2.634838077218e-02       6.261638257056e+03 
       3.315335827376e-02       5.287072520171e+03 
       4.117749966751e-02       4.306564429250e+03 
       4.795254993721e-02       3.741915769746e+03 
       5.286425045417e-02       3.463360139600e+03 
       5.691304009839e-02       3.289096529152e+03 
       6.052726845175e-02       3.157243832667e+03 
       6.389773125215e-02       3.041851405220e+03 
       6.712534820597e-02       2.930100252956e+03 
       7.027060313276e-02       2.814797054325e+03 
       7.337321162010e-02       2.692705541226e+03 
       7.646115596000e-02       2.562980459466e+03 
       7.955530817597e-02       2.426664556537e+03 
       8.267199812167e-02       2.286203524108e+03 
       8.582453480245e-02       2.144979648032e+03 
       8.902415521325e-02       2.006849960767e+03 
       9.228064147818e-02       1.875765915178e+03 
       9.560273636259e-02       1.755205929207e+03 
       9.899843114064e-02       1.647833576624e+03 
       1.024751697738e-01       1.555245843777e+03 
       1.060399965118e-01       1.477830427005e+03 
       1.096996641967e-01       1.414591128268e+03 
       1.134607146169e-01       1.363364213177e+03 
       1.173295385667e-01       1.320717028182e+03 
       1.213124209241e-01       1.282455329829e+03 
       1.254155745339e-01       1.244024930092e+03 
       1.296451656829e-01       1.201328763222e+03 
       1.340073332881e-01       1.151284011950e+03 
       1.385082034762e-01       1.092882175739e+03 
       1.431539009375e-01       1.027291500049e+03 
       1.479505582442e-01       9.576804957388e+02 
       1.529043241975e-01       8.886178795201e+02 
       1.580213721861e-01       8.248102283534e+02 
       1.633079094911e-01       7.699606018060e+02 
       1.687701884391e-01       7.258344130405e+02 
       1.744145202864e-01       6.918742849826e+02 
       1.802472927031e-01       6.651908612543e+02 
       1.862749917180e-01       6.416147745833e+02 
       1.925042289813e-01       6.165054465055e+02 
       1.989417752019e-01       5.862854233585e+02 
       2.055946006350e-01       5.503756283251e+02 
       2.124699235225e-01       5.113313895112e+02 
       2.195752674512e-01       4.732712594672e+02 
       2.269185286902e-01       4.398867944849e+02 
       2.345080547155e-01       4.130431647858e+02 
       2.423527353509e-01       3.922158262931e+02 
       2.504621082570e-01       3.745392790889e+02 
       2.588464809217e-01       3.564011223029e+02 
       2.675170718728e-01       3.356687428025e+02 
       2.764861745867e-01       3.126943221849e+02 
       2.857673485676e-01       2.899072807938e+02 
       2.953756433939e-01       2.700611388233e+02 
       3.053278632782e-01       2.539320417188e+02 
       3.156428820193e-01       2.401247972257e+02 
       3.263420213562e-01       2.264638293499e+02 
       3.374495099765e-01       2.117050605344e+02 
       3.489930462605e-01       1.966575625420e+02 
       3.610044959369e-01       1.828757285643e+02 
       3.735207672561e-01       1.710701333939e+02 
       3.865849226603e-01       1.603425571216e+02 
       4.002476098023e-01       1.495767793855e+02 
       4.145689302190e-01       1.387249645040e+02 
       4.296209176886e-01       1.285916145375e+02 
       4.454908815347e-01       1.194384339214e+02 
       4.622860022811e-01       1.107777392215e+02 
       4.801397825991e-01       1.021941480408e+02 
       4.992213188510e-01       9.400240858443e+01 
       5.197489887388e-01       8.639482201487e+01 
       5.420112893203e-01       7.899394982046e+01 
       5.663997084830e-01       7.182075036238e+01 
       5.934627725556e-01       6.495991608107e+01 
       6.239993427101e-01       5.822691516293e+01 
       6.592291724542e-01       5.163703933180e+01 
       7.011264336281e-01       4.507072090671e+01 
