# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       2.820080108732e+01 
       1.320553506188e-05       3.521931121771e+01 
       1.662478366574e-05       4.398451105368e+01 
       2.092936262238e-05       5.493108474581e+01 
       2.634850645797e-05       6.860180733452e+01 
       3.317080434276e-05       8.567447214918e+01 
       4.175956851675e-05       1.069953523455e+02 
       5.257218199130e-05       1.336209595371e+02 
       6.618445586232e-05       1.668699828297e+02 
       8.332129335084e-05       2.083878097565e+02 
       1.048952935429e-04       2.602263773102e+02 
       1.320553506188e-04       3.249424851698e+02 
       1.662478366574e-04       4.057178894692e+02 
       2.092936262238e-04       5.065040579574e+02 
       2.634850645797e-04       6.321931528323e+02 
       3.317080434276e-04       7.888136353752e+02 
       4.175956851675e-04       9.837431530523e+02 
       5.257218199130e-04       1.225923002990e+03 
       6.618445586232e-04       1.526049118326e+03 
       8.332129335084e-04       1.896705482562e+03 
       1.048952935429e-03       2.352382532322e+03 
       1.320553506188e-03       2.909238352380e+03 
       1.662478366574e-03       3.584240823819e+03 
       2.092936262238e-03       4.393867580436e+03 
       2.634850645797e-03       5.351434483930e+03 
       3.317080434276e-03       6.463350219424e+03 
       4.175956851675e-03       7.724002571133e+03 
       5.257218199130e-03       9.108772644960e+03 
       6.618445586232e-03       1.056525233779e+04 
       8.332129335084e-03       1.200573207356e+04 
       1.048952935429e-02       1.329433116223e+04 
       1.320553506188e-02       1.424618424271e+04 
       1.662478366571e-02       1.463138703086e+04 
       2.092936245785e-02       1.422382865132e+04 
       2.634838077218e-02       1.291660663958e+04 
       3.315335827376e-02       1.090615179931e+04 
       4.117749966751e-02       8.883599797468e+03 
       4.795254993721e-02       7.718755544004e+03 
       5.286425045417e-02       7.144209239793e+03 
       5.691304009839e-02       6.784662522189e+03 
       6.052726845175e-02       6.512603456322e+03 
       6.389773125215e-02       6.274740829849e+03 
       6.712534820597e-02       6.044052128217e+03 
       7.027060313276e-02       5.806248725548e+03 
       7.337321162010e-02       5.554404766107e+03 
       7.646115596000e-02       5.286820474056e+03 
       7.955530817597e-02       5.005610362416e+03 
       8.267199812167e-02       4.715952489380e+03 
       8.582453480245e-02       4.424610638410e+03 
       8.902415521325e-02       4.139723091841e+03 
       9.228064147818e-02       3.869318031132e+03 
       9.560273636259e-02       3.620647279504e+03 
       9.899843114064e-02       3.399135510027e+03 
       1.024751697738e-01       3.208150146385e+03 
       1.060399965118e-01       3.048472679138e+03 
       1.096996641967e-01       2.918037756416e+03 
       1.134607146169e-01       2.812322221810e+03 
       1.173295385667e-01       2.724338547396e+03 
       1.213124209241e-01       2.645399869837e+03 
       1.254155745339e-01       2.566175305811e+03 
       1.296451656829e-01       2.478041826142e+03 
       1.340073332881e-01       2.374838645734e+03 
       1.385082034762e-01       2.254384076600e+03 
       1.431539009375e-01       2.119050303675e+03 
       1.479505582442e-01       1.975467252252e+03 
       1.529043241975e-01       1.833019608897e+03 
       1.580213721861e-01       1.701407027757e+03 
       1.633079094911e-01       1.588282941990e+03 
       1.687701884391e-01       1.497246573915e+03 
       1.744145202864e-01       1.427196004007e+03 
       1.802472927031e-01       1.372133678210e+03 
       1.862749917180e-01       1.323516251405e+03 
       1.925042289813e-01       1.271727195962e+03 
       1.989417752019e-01       1.209384767861e+03 
       2.055946006350e-01       1.135299768998e+03 
       2.124699235225e-01       1.054754159167e+03 
       2.195752674512e-01       9.762600140120e+02 
       2.269185286902e-01       9.073889652710e+02 
       2.345080547155e-01       8.520272501575e+02 
       2.423527353509e-01       8.090479014229e+02 
