# Matter power spectrum P(k) at redshift z=1.3
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       1.365612660875e+01 
       1.320553506188e-05       1.705481445971e+01 
       1.662478366574e-05       2.129933131242e+01 
       2.092936262238e-05       2.660017708308e+01 
       2.634850645797e-05       3.322019169931e+01 
       3.317080434276e-05       4.148760255402e+01 
       4.175956851675e-05       5.181223499408e+01 
       5.257218199130e-05       6.470573971177e+01 
       6.618445586232e-05       8.080676510867e+01 
       8.332129335084e-05       1.009122357513e+02 
       1.048952935429e-04       1.260160915992e+02 
       1.320553506188e-04       1.573570355025e+02 
       1.662478366574e-04       1.964701076092e+02 
       2.092936262238e-04       2.452806916692e+02 
       2.634850645797e-04       3.061565799773e+02 
       3.317080434276e-04       3.820227603905e+02 
       4.175956851675e-04       4.764614249683e+02 
       5.257218199130e-04       5.938162212023e+02 
       6.618445586232e-04       7.392813962354e+02 
       8.332129335084e-04       9.189554257370e+02 
       1.048952935429e-03       1.139834892724e+03 
       1.320553506188e-03       1.409705055952e+03 
       1.662478366574e-03       1.736762795578e+03 
       2.092936262238e-03       2.128970316643e+03 
       2.634850645797e-03       2.592723084988e+03 
       3.317080434276e-03       3.131059392595e+03 
       4.175956851675e-03       3.741159686268e+03 
       5.257218199130e-03       4.410971512391e+03 
       6.618445586232e-03       5.115149045372e+03 
       8.332129335084e-03       5.810529745931e+03 
       1.048952935429e-02       6.431606543401e+03 
       1.320553506188e-02       6.888409353261e+03 
       1.662478366571e-02       7.070295395340e+03 
       2.092936245785e-02       6.868553351641e+03 
       2.634838077218e-02       6.232601748894e+03 
       3.315335827376e-02       5.260018163864e+03 
       4.117749966751e-02       4.285102996000e+03 
       4.795254993721e-02       3.724968461838e+03 
       5.286425045417e-02       3.448742305808e+03 
       5.691304009839e-02       3.275794814742e+03 
       6.052726845175e-02       3.144829281116e+03 
       6.389773125215e-02       3.030226250552e+03 
       6.712534820597e-02       2.919385642929e+03 
       7.027060313276e-02       2.805281285769e+03 
       7.337321162010e-02       2.684782470216e+03 
       7.646115596000e-02       2.557099012388e+03 
       7.955530817597e-02       2.423273537719e+03 
       8.267199812167e-02       2.285697868983e+03 
       8.582453480245e-02       2.147653463878e+03 
       8.902415521325e-02       2.012861039688e+03 
       9.228064147818e-02       1.885112553766e+03 
       9.560273636259e-02       1.767725745008e+03 
       9.899843114064e-02       1.663218482970e+03 
       1.024751697738e-01       1.573071122297e+03 
       1.060399965118e-01       1.497594986059e+03 
       1.096996641967e-01       1.435772509906e+03 
       1.134607146169e-01       1.385474054082e+03 
       1.173295385667e-01       1.343373180389e+03 
       1.213124209241e-01       1.305443623362e+03 
       1.254155745339e-01       1.267351370789e+03 
       1.296451656829e-01       1.225233207174e+03 
       1.340073332881e-01       1.176217177569e+03 
       1.385082034762e-01       1.119407060474e+03 
       1.431539009375e-01       1.055955493633e+03 
       1.479505582442e-01       9.888777852118e+02 
       1.529043241975e-01       9.224750946018e+02 
       1.580213721861e-01       8.611462010135e+02 
       1.633079094911e-01       8.083220920646e+02 
       1.687701884391e-01       7.656018511093e+02 
       1.744145202864e-01       7.324090289610e+02 
       1.802472927031e-01       7.060068750550e+02 
       1.862749917180e-01       6.825007106641e+02 
       1.925042289813e-01       6.576035940114e+02 
       1.989417752019e-01       6.280517187347e+02 
       2.055946006350e-01       5.933591244027e+02 
       2.124699235225e-01       5.559040037185e+02 
       2.195752674512e-01       5.194642256649e+02 
       2.269185286902e-01       4.873935350556e+02 
       2.345080547155e-01       4.613557166525e+02 
       2.423527353509e-01       4.408330471803e+02 
       2.504621082570e-01       4.232004978922e+02 
       2.588464809217e-01       4.051927382290e+02 
       2.675170718728e-01       3.849094866433e+02 
       2.764861745867e-01       3.626907168125e+02 
       2.857673485676e-01       3.407200389343e+02 
       2.953756433939e-01       3.214420878750e+02 
       3.053278632782e-01       3.055216004742e+02 
       3.156428820193e-01       2.916994299509e+02 
       3.263420213562e-01       2.780474014414e+02 
       3.374495099765e-01       2.634790441445e+02 
       3.489930462605e-01       2.487122534953e+02 
       3.610044959369e-01       2.351011319125e+02 
       3.735207672561e-01       2.232490620374e+02 
       3.865849226603e-01       2.123636693044e+02 
       4.002476098023e-01       2.014778964162e+02 
       4.145689302190e-01       1.905521867780e+02 
       4.296209176886e-01       1.802708007330e+02 
       4.454908815347e-01       1.708456675777e+02 
       4.622860022811e-01       1.618533733406e+02 
       4.801397825991e-01       1.529382618706e+02 
       4.992213188510e-01       1.443571047510e+02 
       5.197489887388e-01       1.362572630884e+02 
       5.420112893203e-01       1.283124861719e+02 
       5.663997084830e-01       1.205247657974e+02 
       5.934627725556e-01       1.129410561996e+02 
       6.239993427101e-01       1.053823255111e+02 
       6.592291724542e-01       9.781848332997e+01 
       7.011264336281e-01       9.009016738258e+01 
