# Matter power spectrum P(k) at redshift z=0.7
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       2.313369783789e+01 
       1.320553506188e-05       2.889112743689e+01 
       1.662478366574e-05       3.608140202805e+01 
       2.092936262238e-05       4.506110660645e+01 
       2.634850645797e-05       5.627549274211e+01 
       3.317080434276e-05       7.028057019149e+01 
       4.175956851675e-05       8.777056527071e+01 
       5.257218199130e-05       1.096121727305e+02 
       6.618445586232e-05       1.368871777797e+02 
       8.332129335084e-05       1.709453961985e+02 
       1.048952935429e-04       2.134702097649e+02 
       1.320553506188e-04       2.665592822058e+02 
       1.662478366574e-04       3.328231860831e+02 
       2.092936262238e-04       4.155043594586e+02 
       2.634850645797e-04       5.186177158388e+02 
       3.317080434276e-04       6.471116185874e+02 
       4.175956851675e-04       8.070430781330e+02 
       5.257218199130e-04       1.005753729884e+03 
       6.618445586232e-04       1.252024752034e+03 
       8.332129335084e-04       1.556181573202e+03 
       1.048952935429e-03       1.930104766847e+03 
       1.320553506188e-03       2.387042230708e+03 
       1.662478366574e-03       2.940920006723e+03 
       2.092936262238e-03       3.605259462914e+03 
       2.634850645797e-03       4.390985915858e+03 
       3.317080434276e-03       5.303358594404e+03 
       4.175956851675e-03       6.337772731416e+03 
       5.257218199130e-03       7.474035884043e+03 
       6.618445586232e-03       8.669246715648e+03 
       8.332129335084e-03       9.851157622748e+03 
       1.048952935429e-02       1.090861033062e+04 
       1.320553506188e-02       1.168945813762e+04 
       1.662478366571e-02       1.200553273500e+04 
       2.092936245785e-02       1.167115748923e+04 
       2.634838077218e-02       1.059847233018e+04 
       3.315335827376e-02       8.948880662032e+03 
       4.117749966751e-02       7.289287623263e+03 
       4.795254993721e-02       6.333512240521e+03 
       5.286425045417e-02       5.862066450022e+03 
       5.691304009839e-02       5.567047218052e+03 
       6.052726845175e-02       5.343829529713e+03 
       6.389773125215e-02       5.148649277765e+03 
       6.712534820597e-02       4.959391182624e+03 
       7.027060313276e-02       4.764290003110e+03 
       7.337321162010e-02       4.557628939665e+03 
       7.646115596000e-02       4.338069672976e+03 
       7.955530817597e-02       4.107289411308e+03 
       8.267199812167e-02       3.869602663179e+03 
       8.582453480245e-02       3.630556363192e+03 
       8.902415521325e-02       3.396775570777e+03 
       9.228064147818e-02       3.174908930303e+03 
       9.560273636259e-02       2.970859327835e+03 
       9.899843114064e-02       2.789103714592e+03 
       1.024751697738e-01       2.632397071428e+03 
       1.060399965118e-01       2.501372081570e+03 
       1.096996641967e-01       2.394343083043e+03 
       1.134607146169e-01       2.307607174514e+03 
       1.173295385667e-01       2.235413592170e+03 
       1.213124209241e-01       2.170634811117e+03 
       1.254155745339e-01       2.105627788847e+03 
       1.296451656829e-01       2.033327616028e+03 
       1.340073332881e-01       1.948640783057e+03 
       1.385082034762e-01       1.849813462681e+03 
       1.431539009375e-01       1.738752695416e+03 
       1.479505582442e-01       1.620948868709e+03 
       1.529043241975e-01       1.504058136734e+03 
       1.580213721861e-01       1.396069090716e+03 
       1.633079094911e-01       1.303236630864e+03 
       1.687701884391e-01       1.228541898936e+03 
       1.744145202864e-01       1.171061399993e+03 
       1.802472927031e-01       1.125885685116e+03 
       1.862749917180e-01       1.085987616432e+03 
       1.925042289813e-01       1.043496806696e+03 
       1.989417752019e-01       9.923389122463e+02 
       2.055946006350e-01       9.315500590453e+02 
       2.124699235225e-01       8.654635171985e+02 
       2.195752674512e-01       8.010550537639e+02 
       2.269185286902e-01       7.445436428706e+02 
       2.345080547155e-01       6.991169823144e+02 
       2.423527353509e-01       6.638532733094e+02 
       2.504621082570e-01       6.339385739703e+02 
       2.588464809217e-01       6.032317651473e+02 
       2.675170718728e-01       5.681455308778e+02 
       2.764861745867e-01       5.292663968522e+02 
       2.857673485676e-01       4.906904577576e+02 
       2.953756433939e-01       4.571052514383e+02 
       3.053278632782e-01       4.297994919013e+02 
       3.156428820193e-01       4.064354977534e+02 
       3.263420213562e-01       3.833128298101e+02 
       3.374495099765e-01       3.583320079849e+02 
       3.489930462605e-01       3.328620153165e+02 
       3.610044959369e-01       3.095310245086e+02 
       3.735207672561e-01       2.895499996067e+02 
       3.865849226603e-01       2.713915812598e+02 
       4.002476098023e-01       2.531738143895e+02 
       4.145689302190e-01       2.348030370891e+02 
       4.296209176886e-01       2.176520046338e+02 
       4.454908815347e-01       2.021582355612e+02 
       4.622860022811e-01       1.875001400669e+02 
       4.801397825991e-01       1.729716606654e+02 
       4.992213188510e-01       1.591064510299e+02 
       5.197489887388e-01       1.462315728504e+02 
       5.420112893203e-01       1.337049541865e+02 
       5.663997084830e-01       1.215617294009e+02 
       5.934627725556e-01       1.099496875334e+02 
       6.239993427101e-01       9.855315691854e+01 
       6.592291724542e-01       8.739952167166e+01 
       7.011264336281e-01       7.628536492846e+01 
       7.531239737703e-01       6.507538109809e+01 
       8.217203627665e-01       5.352373878640e+01 
       9.202773945291e-01       4.140574957596e+01 
       1.076080634432e+00       2.891249201894e+01 
       1.324171164053e+00       1.781432935534e+01 
       1.664230651192e+00       1.034916295420e+01 
       2.095088782300e+00       5.934294628837e+00 
       2.637560307859e+00       3.374599000643e+00 
       3.320491696597e+00       1.904753999022e+00 
       4.180251376498e+00       1.067774975010e+00 
       5.262624685560e+00       5.949046294519e-01 
       6.625251949387e+00       3.295758118099e-01 
       8.340698038623e+00       1.816402125333e-01 
       1.050031671292e+01       9.962931549272e-02 
       1.321911554179e+01       5.440496620375e-02 
       1.664188047700e+01       2.958699471568e-02 
       2.095088623253e+01       1.602783319887e-02 
       2.637560307775e+01       8.650668699467e-03 
       3.320491696597e+01       4.652101013260e-03 
       4.180251376498e+01       2.492746771573e-03 
       5.262624685560e+01       1.330598744743e-03 
       6.625251949387e+01       7.072543970566e-04 
       8.340698038623e+01       3.740711102984e-04 
       1.050031671292e+02       1.966062482971e-04 
       1.321911554179e+02       1.024725682100e-04 
       1.664188047700e+02       5.281050073199e-05 
       2.095088623253e+02       2.678977328670e-05 
       2.637560307775e+02       1.330375241971e-05 
       3.320491696597e+02       6.429182386708e-06 
       4.180251376498e+02       3.013247460691e-06 
       5.262624685560e+02       1.375639719323e-06 
       6.625251949387e+02       6.231476638771e-07 
       8.340698038623e+02       2.890773871305e-07 
       1.050031671292e+03       1.404846805135e-07 
       1.321911554179e+03       6.959062899816e-08 
       1.664188047700e+03       3.349991126675e-08 
       2.095088623253e+03       1.653979303045e-08 
       2.637560307775e+03       8.551901959869e-09 
       3.320491696597e+03       4.263897316108e-09 
       4.180251376498e+03       2.182930024873e-09 
       5.262624685560e+03       1.128684227316e-09 
       6.625251949387e+03       5.768060238380e-10 
       8.340698038623e+03       3.022483856892e-10 
       1.050031671292e+04       1.535023698050e-10 
