# Matter power spectrum P(k) at redshift z=1.5
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050031671292e+03       7.288044760861e-08 
       1.321911554179e+03       3.672546352274e-08 
       1.664188047700e+03       1.844114006134e-08 
       2.095088623253e+03       8.885500911547e-09 
       2.637560307775e+03       4.533568024177e-09 
       3.320491696597e+03       2.330811335452e-09 
       4.180251376498e+03       1.193501701335e-09 
       5.262624685560e+03       6.023510037903e-10 
       6.625251949387e+03       3.100689308697e-10 
       8.340698038623e+03       1.617370106982e-10 
       1.050031671292e+04       8.446841549996e-11 
