# Matter power spectrum P(k) at redshift z=0
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.050031671292e+03       2.795871467261e-07 
       1.321911554179e+03       1.347763089865e-07 
       1.664188047700e+03       6.448513407919e-08 
       2.095088623253e+03       3.271475546419e-08 
       2.637560307775e+03       1.620854425937e-08 
       3.320491696597e+03       8.360791591372e-09 
       4.180251376498e+03       4.258101014000e-09 
       5.262624685560e+03       2.187472935422e-09 
       6.625251949387e+03       1.121796002218e-09 
       8.340698038623e+03       5.800593933100e-10 
       1.050031671292e+04       3.010990452656e-10 
