# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       2.820080108732e+01 
       1.320553506188e-05       3.521931121771e+01 
       1.662478366574e-05       4.398451105368e+01 
       2.092936262238e-05       5.493108474581e+01 
       2.634850645797e-05       6.860180733452e+01 
       3.317080434276e-05       8.567447214918e+01 
       4.175956851675e-05       1.069953523455e+02 
       5.257218199130e-05       1.336209595371e+02 
       6.618445586232e-05       1.668699828297e+02 
       8.332129335084e-05       2.083878097565e+02 
       1.048952935429e-04       2.602263773102e+02 
       1.320553506188e-04       3.249424851698e+02 
       1.662478366574e-04       4.056884258573e+02 
       2.092936262238e-04       5.064577902354e+02 
       2.634850645797e-04       6.321205137774e+02 
       3.317080434276e-04       7.886996340074e+02 
       4.175956851675e-04       9.835643315447e+02 
       5.257218199130e-04       1.225642726804e+03 
       6.618445586232e-04       1.525610332597e+03 
       8.332129335084e-04       1.896019659878e+03 
       1.048952935429e-03       2.351312977119e+03 
       1.320553506188e-03       2.907575328649e+03 
       1.662478366574e-03       3.581665327033e+03 
       2.092936262238e-03       4.389899754889e+03 
       2.634850645797e-03       5.345363124344e+03 
       3.317080434276e-03       6.454141042549e+03 
       4.175956851675e-03       7.710187219676e+03 
       5.257218199130e-03       9.088330517640e+03 
       6.618445586232e-03       1.053551647022e+04 
       8.332129335084e-03       1.196337434847e+04 
       1.048952935429e-02       1.323556094102e+04 
       1.320553506188e-02       1.416733798967e+04 
       1.662478366571e-02       1.453026140949e+04 
       2.092936245785e-02       1.410200805522e+04 
       2.634838077218e-02       1.278230246213e+04 
       3.315335827376e-02       1.077462235238e+04 
       4.117749966751e-02       8.768703395032e+03 
       4.795254993721e-02       7.618085685192e+03 
       5.286425045417e-02       7.051042562056e+03 
       5.691304009839e-02       6.695975826489e+03 
       6.052726845175e-02       6.427276771285e+03 
       6.389773125215e-02       6.192730183653e+03 
       6.712534820597e-02       5.966039821046e+03 
       7.027060313276e-02       5.733413187690e+03 
       7.337321162010e-02       5.488236879317e+03 
       7.646115596000e-02       5.228939576657e+03 
       7.955530817597e-02       4.957587996260e+03 
       8.267199812167e-02       4.679134727735e+03 
       8.582453480245e-02       4.399993461158e+03 
       8.902415521325e-02       4.127826004670e+03 
       9.228064147818e-02       3.870134221477e+03 
       9.560273636259e-02       3.633635168230e+03 
       9.899843114064e-02       3.423282117208e+03 
       1.024751697738e-01       3.242063699304e+03 
       1.060399965118e-01       3.090528082900e+03 
       1.096996641967e-01       2.966564903958e+03 
       1.134607146169e-01       2.865796700247e+03 
       1.173295385667e-01       2.781601946323e+03 
       1.213124209241e-01       2.705851242768e+03 
       1.254155745339e-01       2.629899169312e+03 
       1.296451656829e-01       2.545832259501e+03 
       1.340073332881e-01       2.448067898405e+03 
       1.385082034762e-01       2.334715762644e+03 
       1.431539009375e-01       2.208062656188e+03 
       1.479505582442e-01       2.074255552664e+03 
       1.529043241975e-01       1.941886804844e+03 
       1.580213721861e-01       1.819745984790e+03 
       1.633079094911e-01       1.714676883865e+03 
       1.687701884391e-01       1.629792362967e+03 
       1.744145202864e-01       1.563947080885e+03 
       1.802472927031e-01       1.511626857244e+03 
       1.862749917180e-01       1.465106754687e+03 
       1.925042289813e-01       1.415788703769e+03 
       1.989417752019e-01       1.357150390374e+03 
       2.055946006350e-01       1.288231120473e+03 
       2.124699235225e-01       1.213804908196e+03 
       2.195752674512e-01       1.141430319694e+03 
       2.269185286902e-01       1.077732023140e+03 
       2.345080547155e-01       1.026016427858e+03 
       2.423527353509e-01       9.851853238558e+02 
