# Matter power spectrum P(k) at redshift z=0.7
# for k=1.04895e-05 to 10500.3 h/Mpc,
# number of wavenumbers equal to 152
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048952935429e-05       2.313369783789e+01 
       1.320553506188e-05       2.889112743689e+01 
       1.662478366574e-05       3.608140202805e+01 
       2.092936262238e-05       4.506110660645e+01 
       2.634850645797e-05       5.627549274211e+01 
       3.317080434276e-05       7.028057019149e+01 
       4.175956851675e-05       8.777056527071e+01 
       5.257218199130e-05       1.096121727305e+02 
       6.618445586232e-05       1.368871777797e+02 
       8.332129335084e-05       1.709453961985e+02 
       1.048952935429e-04       2.134702097649e+02 
       1.320553506188e-04       2.665592822058e+02 
       1.662478366574e-04       3.328032082088e+02 
       2.092936262238e-04       4.154729895941e+02 
       2.634850645797e-04       5.185684691867e+02 
       3.317080434276e-04       6.470343346297e+02 
       4.175956851675e-04       8.069218587052e+02 
       5.257218199130e-04       1.005563748484e+03 
       6.618445586232e-04       1.251727348498e+03 
       8.332129335084e-04       1.555716774127e+03 
       1.048952935429e-03       1.929379996505e+03 
       1.320553506188e-03       2.385915505609e+03 
       1.662478366574e-03       2.939175476950e+03 
       2.092936262238e-03       3.602572643500e+03 
       2.634850645797e-03       4.386876263021e+03 
       3.317080434276e-03       5.297127953189e+03 
       4.175956851675e-03       6.328431081361e+03 
       5.257218199130e-03       7.460222541141e+03 
       6.618445586232e-03       8.649167524451e+03 
       8.332129335084e-03       9.822575741704e+03 
       1.048952935429e-02       1.086897562534e+04 
       1.320553506188e-02       1.163630158388e+04 
       1.662478366571e-02       1.193736291941e+04 
       2.092936245785e-02       1.158907740159e+04 
       2.634838077218e-02       1.050822951815e+04 
       3.315335827376e-02       8.861280065274e+03 
       4.117749966751e-02       7.214141807006e+03 
       4.795254993721e-02       6.268741357842e+03 
       5.286425045417e-02       5.802557597352e+03 
       5.691304009839e-02       5.510469890399e+03 
       6.052726845175e-02       5.289277809631e+03 
       6.389773125215e-02       5.096032379051e+03 
       6.712534820597e-02       4.909175937380e+03 
       7.027060313276e-02       4.717337249490e+03 
       7.337321162010e-02       4.515057602974e+03 
       7.646115596000e-02       4.301112552332e+03 
       7.955530817597e-02       4.077160422551e+03 
       8.267199812167e-02       3.847349495456e+03 
       8.582453480245e-02       3.616962141673e+03 
       8.902415521325e-02       3.392259098654e+03 
       9.228064147818e-02       3.179476740747e+03 
       9.560273636259e-02       2.984103163433e+03 
       9.899843114064e-02       2.810244620976e+03 
       1.024751697738e-01       2.660357990223e+03 
       1.060399965118e-01       2.534889077300e+03 
       1.096996641967e-01       2.432108457207e+03 
       1.134607146169e-01       2.348416561482e+03 
       1.173295385667e-01       2.278341420127e+03 
       1.213124209241e-01       2.215189718000e+03 
       1.254155745339e-01       2.151863647250e+03 
       1.296451656829e-01       2.081875970802e+03 
       1.340073332881e-01       2.000619857167e+03 
       1.385082034762e-01       1.906593633994e+03 
       1.431539009375e-01       1.801651752404e+03 
       1.479505582442e-01       1.690891752311e+03 
       1.529043241975e-01       1.581326966718e+03 
       1.580213721861e-01       1.480200878920e+03 
       1.633079094911e-01       1.393113225454e+03 
       1.687701884391e-01       1.322647861085e+03 
       1.744145202864e-01       1.267843608433e+03 
       1.802472927031e-01       1.224174568858e+03 
       1.862749917180e-01       1.185277363581e+03 
       1.925042289813e-01       1.144118379235e+03 
       1.989417752019e-01       1.095345991879e+03 
       2.055946006350e-01       1.038193880345e+03 
       2.124699235225e-01       9.765739773128e+02 
       2.195752674512e-01       9.166683206651e+02 
       2.269185286902e-01       8.639120932698e+02 
       2.345080547155e-01       8.210186038982e+02 
       2.423527353509e-01       7.870904245702e+02 
       2.504621082570e-01       7.578757259854e+02 
       2.588464809217e-01       7.280423632558e+02 
       2.675170718728e-01       6.945304421340e+02 
       2.764861745867e-01       6.578963911056e+02 
       2.857673485676e-01       6.216743574437e+02 
       2.953756433939e-01       5.898357219899e+02 
       3.053278632782e-01       5.634142347914e+02 
       3.156428820193e-01       5.403836422107e+02 
       3.263420213562e-01       5.176186963426e+02 
       3.374495099765e-01       4.933828918750e+02 
       3.489930462605e-01       4.688366945163e+02 
       3.610044959369e-01       4.461464320253e+02 
       3.735207672561e-01       4.262713273260e+02 
       3.865849226603e-01       4.079302824570e+02 
       4.002476098023e-01       3.895876962963e+02 
       4.145689302190e-01       3.711733588649e+02 
       4.296209176886e-01       3.537770181349e+02 
       4.454908815347e-01       3.377188212866e+02 
       4.622860022811e-01       3.223264472475e+02 
       4.801397825991e-01       3.070356572578e+02 
       4.992213188510e-01       2.922417089157e+02 
       5.197489887388e-01       2.781615060906e+02 
       5.420112893203e-01       2.642738110750e+02 
       5.663997084830e-01       2.505652244685e+02 
       5.934627725556e-01       2.370856708025e+02 
       6.239993427101e-01       2.235267344296e+02 
       6.592291724542e-01       2.097933983241e+02 
       7.011264336281e-01       1.955678108172e+02 
       7.531239737703e-01       1.804723852697e+02 
       8.217203627665e-01       1.638535580827e+02 
       9.202773945291e-01       1.447111030201e+02 
       1.076080634432e+00       1.219519460291e+02 
       1.324171164053e+00       9.679618017687e+01 
       1.664230651192e+00       7.410431540411e+01 
       2.095088782300e+00       5.546080418214e+01 
       2.637560307859e+00       4.040529660514e+01 
       3.320491696597e+00       2.853164951746e+01 
       4.180251376498e+00       1.948988837756e+01 
       5.262624685560e+00       1.289365949971e+01 
       6.625251949387e+00       8.290498839088e+00 
       8.340698038623e+00       5.204712386589e+00 
       1.050031671292e+01       3.204780635575e+00 
       1.321911554179e+01       1.943454075552e+00 
       1.664188047700e+01       1.164788846437e+00 
       2.095088623253e+01       6.919186402315e-01 
       2.637560307775e+01       4.082925283793e-01 
       3.320491696597e+01       2.397419818886e-01 
       4.180251376498e+01       1.402611636319e-01 
       5.262624685560e+01       8.184128958869e-02 
       6.625251949387e+01       4.766071407156e-02 
       8.340698038623e+01       2.771600566648e-02 
       1.050031671292e+02       1.610091085072e-02 
       1.321911554179e+02       9.346358668922e-03 
       1.664188047700e+02       5.422454815365e-03 
       2.095088623253e+02       3.144676531250e-03 
       2.637560307775e+02       1.823181415689e-03 
       3.320491696597e+02       1.056798247448e-03 
       4.180251376498e+02       6.124739329531e-04 
       5.262624685560e+02       3.549234232023e-04 
       6.625251949387e+02       2.056584089180e-04 
       8.340698038623e+02       1.191605938259e-04 
       1.050031671292e+03       6.903990998830e-05 
       1.321911554179e+03       3.999946924102e-05 
       1.664188047700e+03       2.317386067544e-05 
       2.095088623253e+03       1.342565221451e-05 
       2.637560307775e+03       7.777986522109e-06 
       3.320491696597e+03       4.506041558030e-06 
       4.180251376498e+03       2.610480452408e-06 
       5.262624685560e+03       1.512320000131e-06 
       6.625251949387e+03       8.761238228998e-07 
       8.340698038623e+03       5.075586391640e-07 
       1.050031671292e+04       2.940398475745e-07 
